Title,Year,Genres,Rating,Votes,Type
Fahrenheit 9/11,2004,"Documentary,Drama,War",7.5,134868,movie
Inglourious Basterds,2009,"Adventure,Drama,War",8.4,1766883,movie
The Machinist,2004,"Drama,Thriller",7.6,439764,movie
Scary Movie 4,2006,Comedy,5.1,138133,movie
Son of the Mask,2005,"Comedy,Family,Fantasy",2.3,62156,movie
Tell No One,2006,"Crime,Drama,Mystery",7.5,60969,movie
The Terminal,2004,"Comedy,Drama,Romance",7.4,532423,movie
Kinsey,2004,"Biography,Drama,Romance",7.0,52501,movie
The Life Aquatic with Steve Zissou,2004,"Action,Adventure,Comedy",7.2,220433,movie
The O.C.,2003,"Comedy,Drama,Romance",7.6,103177,tvSeries
The Box,2009,"Drama,Mystery,Thriller",5.6,97687,movie
Downfall,2004,"Biography,Drama,History",8.2,398599,movie
The Blind Swordsman: Zatoichi,2003,"Action,Comedy,Crime",7.4,53165,movie
Dawn of the Dead,2004,"Action,Horror",7.2,287247,movie
Elephant,2003,"Crime,Drama,Thriller",7.1,103677,movie
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"Adventure,Family,Fantasy",6.9,455710,movie
Secret Window,2004,"Drama,Mystery,Thriller",6.5,220703,movie
Taking Lives,2004,"Crime,Mystery,Thriller",6.2,100850,movie
Ju-on: The Grudge,2002,Horror,6.7,51941,movie
Love Me If You Dare,2003,"Comedy,Drama,Romance",7.5,74209,movie
Oldboy,2003,"Action,Drama,Mystery",8.3,712043,movie
Dodgeball: A True Underdog Story,2004,"Comedy,Sport",6.7,284321,movie
Without a Paddle,2004,"Adventure,Comedy,Mystery",5.9,53882,movie
NCIS,2003,"Action,Crime,Drama",7.8,175569,tvSeries
Babylon A.D.,2008,"Action,Adventure,Sci-Fi",5.5,100737,movie
A Tale of Two Sisters,2003,"Drama,Horror,Mystery",7.1,73675,movie
Revolver,2005,"Action,Crime,Drama",6.3,108237,movie
Syriana,2005,"Drama,Thriller",6.8,138227,movie
Shaun of the Dead,2004,"Comedy,Horror",7.8,636107,movie
Tenacious D in the Pick of Destiny,2006,"Adventure,Comedy,Music",6.8,119152,movie
A Walk Among the Tombstones,2014,"Action,Crime,Drama",6.5,131627,movie
Happy Feet,2006,"Adventure,Animation,Comedy",6.4,212743,movie
Harold & Kumar Go to White Castle,2004,"Adventure,Comedy",7.0,215262,movie
The Jacket,2005,"Drama,Fantasy,Mystery",7.1,124292,movie
The Squid and the Whale,2005,"Comedy,Drama",7.3,94495,movie
Swades,2004,"Drama,Musical",8.2,105627,movie
Arrested Development,2003,Comedy,8.6,342068,tvSeries
After the Sunset,2004,"Action,Comedy,Crime",6.2,52877,movie
Charlie and the Chocolate Factory,2005,"Adventure,Comedy,Family",6.7,568067,movie
Deuce Bigalow: European Gigolo,2005,Comedy,4.7,56019,movie
Indiana Jones and the Kingdom of the Crystal Skull,2008,"Action,Adventure",6.2,512159,movie
Hannibal Rising,2007,"Adventure,Crime,Drama",6.1,121220,movie
The Manchurian Candidate,2004,"Drama,Mystery,Sci-Fi",6.6,122471,movie
The Room,2003,Drama,3.6,99486,movie
The Village,2004,"Drama,Mystery,Thriller",6.6,295558,movie
One Tree Hill,2003,"Drama,Romance,Sport",7.8,93610,tvSeries
Elizabethtown,2005,"Comedy,Drama,Romance",6.3,75046,movie
I'm Not There,2007,"Biography,Drama,Music",6.8,63353,movie
National Treasure,2004,"Action,Adventure,Mystery",6.9,375177,movie
Ong-Bak: The Thai Warrior,2003,"Action,Crime,Thriller",7.2,81226,movie
The Princess Diaries 2: Royal Engagement,2004,"Comedy,Family,Romance",5.9,96572,movie
Two and a Half Men,2003,"Comedy,Romance",7.1,296794,tvSeries
Collateral,2004,"Action,Crime,Drama",7.5,464874,movie
Four Christmases,2008,"Comedy,Drama,Romance",5.7,88497,movie
Fun with Dick and Jane,2005,"Comedy,Crime",6.2,162384,movie
Jurassic World,2015,"Action,Adventure,Sci-Fi",6.9,724974,movie
The Sea Inside,2004,"Biography,Drama",7.9,88661,movie
Monster-in-Law,2005,"Comedy,Romance",5.6,68757,movie
Ultraviolet,2006,"Action,Sci-Fi",4.4,86304,movie
Alien vs. Predator,2004,"Action,Adventure,Horror",5.7,231594,movie
Mysterious Skin,2004,Drama,7.6,84467,movie
Spanglish,2004,"Comedy,Drama,Romance",6.4,92438,movie
Stay,2005,"Drama,Mystery,Thriller",6.7,92614,movie
Chicken Little,2005,"Adventure,Animation,Comedy",5.7,108455,movie
The Hitchhiker's Guide to the Galaxy,2005,"Adventure,Comedy,Sci-Fi",6.7,216437,movie
Iron Man,2008,"Action,Adventure,Sci-Fi",7.9,1215318,movie
The Bourne Supremacy,2004,"Action,Mystery,Thriller",7.7,510913,movie
The Wedding Date,2005,"Comedy,Romance",6.1,59035,movie
Team America: World Police,2004,"Action,Comedy",7.2,184595,movie
Batman Begins,2005,"Action,Crime,Drama",8.2,1702032,movie
The Chorus,2004,"Drama,Music",7.9,71525,movie
Journey to the Center of the Earth,2008,"Action,Adventure,Family",5.8,140216,movie
Kung Fu Hustle,2004,"Action,Comedy,Fantasy",7.7,162850,movie
Kiss Kiss Bang Bang,2005,"Comedy,Crime,Mystery",7.4,248707,movie
Halloween,2007,Horror,6.1,138382,movie
Harry Potter and the Order of the Phoenix,2007,"Action,Adventure,Family",7.5,694539,movie
The Interpreter,2005,"Crime,Mystery,Thriller",6.4,113928,movie
Open Water,2003,"Adventure,Drama,Horror",5.8,58897,movie
Stargate: Atlantis,2004,"Action,Adventure,Drama",8.1,75413,tvSeries
Bewitched,2005,"Comedy,Fantasy,Romance",4.9,78216,movie
"Spring, Summer, Fall, Winter... and Spring",2003,"Drama,Romance",8.0,90519,movie
Munna Bhai M.B.B.S.,2003,"Comedy,Drama",8.2,97366,movie
Napoleon Dynamite,2004,Comedy,7.0,254506,movie
Sideways,2004,"Comedy,Drama,Romance",7.5,216267,movie
Tristan + Isolde,2006,"Action,Drama,Romance",6.8,56003,movie
Alfie,2004,"Comedy,Drama,Romance",6.2,56473,movie
White Noise,2005,"Drama,Horror,Mystery",5.5,52890,movie
Crash,2004,"Crime,Drama,Thriller",7.7,461006,movie
Layer Cake,2004,"Crime,Drama,Thriller",7.2,207129,movie
The Rum Diary,2011,"Comedy,Drama,Romance",6.1,109986,movie
Closer,2004,"Drama,Romance",7.1,250011,movie
X-Men: The Last Stand,2006,"Action,Adventure,Sci-Fi",6.6,570248,movie
Flight of the Phoenix,2004,"Action,Adventure,Drama",6.1,58809,movie
Mean Girls,2004,Comedy,7.1,482364,movie
The Ring Two,2005,"Horror,Mystery",5.4,105577,movie
Be Cool,2005,"Comedy,Crime,Music",5.6,74806,movie
The Dukes of Hazzard,2005,"Action,Adventure,Comedy",5.2,84601,movie
Gnomeo & Juliet,2011,"Adventure,Animation,Comedy",5.9,63501,movie
Into the Blue,2005,"Action,Adventure,Crime",5.9,84037,movie
