Title,Year,Genres,Rating,Votes,Type,Popularity,Decade
X-Men: The Last Stand,2006,"Action,Adventure,Sci-Fi",6.6,570248,movie,87.47525577718497,2000
Flight of the Phoenix,2004,"Action,Adventure,Drama",6.1,58809,movie,66.99050611873106,2000
Mean Girls,2004,Comedy,7.1,482364,movie,92.9138254926875,2000
The Ring Two,2005,"Horror,Mystery",5.4,105577,movie,62.46285744690795,2000
Be Cool,2005,"Comedy,Crime,Music",5.6,74806,movie,62.84685889803635,2000
The Dukes of Hazzard,2005,"Action,Adventure,Comedy",5.2,84601,movie,58.997647102448205,2000
Gnomeo & Juliet,2011,"Adventure,Animation,Comedy",5.9,63501,movie,65.24698450345086,2010
Into the Blue,2005,"Action,Adventure,Crime",5.9,84037,movie,66.90017349650513,2000
Kill Bill: Vol. 2,2004,"Action,Crime,Thriller",8.0,864389,movie,109.35822542355113,2000
Coffee and Cigarettes,2003,"Comedy,Drama,Music",7.0,70621,movie,78.15557980773659,2000
Capote,2005,"Biography,Crime,Drama",7.3,148893,movie,86.95017740489477,2000
Serenity,2005,"Action,Adventure,Sci-Fi",7.8,314417,movie,98.73610819271325,2000
Goal! The Dream Begins,2005,"Drama,Romance,Sport",6.7,68394,movie,74.59137054911439,2000
The Lovely Bones,2009,"Drama,Fantasy,Thriller",6.6,190586,movie,80.24186818063981,2000
Casino Royale,2006,"Action,Adventure,Thriller",8.0,740060,movie,108.11589234379632,2000
Before Sunset,2004,"Drama,Romance",8.1,312773,movie,102.49118703101685,2000
White Chicks,2004,"Comedy,Crime",5.9,190753,movie,71.73653459084794,2000
3:10 to Yuma,2007,"Action,Crime,Drama",7.6,349811,movie,97.01512698585945,2000
Hide and Seek,2005,"Horror,Mystery",6.0,92424,movie,68.60485178497713,2000
The Da Vinci Code,2006,"Mystery,Thriller",6.7,483893,movie,87.70044788208301,2000
Dark Water,2005,"Drama,Horror,Mystery",5.6,67733,movie,62.29064119457985,2000
Ratatouille,2007,"Adventure,Animation,Comedy",8.1,933678,movie,111.34978392258161,2000
Stealth,2005,"Action,Adventure,Sci-Fi",5.1,58343,movie,55.96788279045021,2000
"Synecdoche, New York",2008,Drama,7.5,104111,movie,86.64909687485934,2000
